Country Name,Angola,Angola,Angola,Botswana,Botswana,Botswana,Lesotho,Lesotho,Lesotho,Malawi,Malawi,Malawi,Mozambique,Mozambique,Mozambique,Namibia,Namibia,Namibia,South Africa,South Africa,South Africa,Zimbabwe,Zimbabwe,Zimbabwe,Zambia,Zambia,Zambia,Swaziland,Swaziland,Swaziland
Country Code,AGO,AGO,AGO,BWA,BWA,BWA,LSO,LSO,LSO,MWI,MWI,MWI,MOZ,MOZ,MOZ,NAM,NAM,NAM,ZAF,ZAF,ZAF,ZWE,ZWE,ZWE,ZMB,ZMB,ZMB,SWZ,SWZ,SWZ
Series Name,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, total"
Series Code,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.POP.TOTL
2006 [YR2006],47.37,13.034,20262399,25.482,12.243,1884238,28.748,16.373,1965662,42.818,13.016,13429262,43.178,13.687,21547463,29.644,11.831,2055734,23.159,14.421,49364582,35.087,15.398,13124267,42.438,13.001,12383446,32.2,15.1,1121000
2007 [YR2007],46.947,12.327,20997687,25.38,11.437,1914414,28.586,15.843,1982287,42.388,12.189,13840969,42.768,13.222,22188387,29.636,11.488,2079915,22.995,14.319,49887181,35.432,14.604,13329909,41.896,12.248,12725974,32,14.6,1138000
2008 [YR2008],46.459,11.654,21759420,25.331,10.659,1946351,28.51,15.308,1999930,41.816,11.366,14271234,42.347,12.785,22846758,29.716,11.029,2106375,22.836,14.029,50412129,35.727,13.713,13558469,41.36,11.508,13082517,31.9,14,1159000
2009 [YR2009],45.91,11.023,22549547,25.311,9.951,1979882,28.501,14.812,2019209,41.113,10.574,14714602,41.92,12.38,23524063,29.857,10.48,2137040,22.678,13.575,50970818,35.938,12.774,13810599,40.844,10.8,13456417,31.6,13.3,1181000
2010 [YR2010],45.314,10.45,23369131,25.286,9.33,2014866,28.528,14.383,2040551,40.321,9.844,15167095,41.491,12.006,24221405,30.011,9.881,2173170,22.51,12.997,51584663,36.02,11.838,14086317,40.361,10.144,13850033,31.3,12.6,1203000
2011 [YR2011],44.688,9.949,24218565,25.217,8.792,2051339,28.557,14.026,2064166,39.503,9.199,15627618,41.062,11.658,24939005,30.127,9.276,2215621,22.322,12.346,52263516,35.932,10.954,14386649,39.917,9.56,14264756,30.9,11.9,1225000
2012 [YR2012],44.058,9.525,25096150,25.079,8.304,2089315,28.555,13.713,2089928,38.73,8.643,16097305,40.633,11.325,25676606,30.162,8.704,2263934,22.108,11.684,52998213,35.666,10.148,14710826,39.506,9.054,14699937,30.5,11.3,1248000
2013 [YR2013],43.446,9.176,25998340,24.856,7.843,2128507,28.498,13.425,2117361,38.054,8.174,16577147,40.204,11.002,26434372,30.09,8.196,2316520,21.865,11.066,53767396,35.233,9.441,15054506,39.125,8.626,15153210,30.1,10.7,1271000
2014 [YR2014],42.864,8.899,26920466,24.541,7.413,2168573,28.368,13.16,2145785,37.495,7.794,17068838,39.778,10.686,27212382,29.897,7.776,2370992,21.594,10.529,54539571,34.647,8.856,15411675,38.771,8.276,15620974,29.7,10.2,1295000
2015 [YR2015],42.321,8.683,27859305,24.14,7.022,2209197,28.158,12.919,2174645,37.053,7.498,17573607,39.36,10.381,28010691,29.587,7.455,2425561,21.297,10.102,55291225,33.937,8.402,15777451,38.441,7.998,16100587,29.3,9.9,1319000
2016 [YR2016],41.819,8.513,28813463,23.669,6.684,2250260,27.872,12.702,2203821,36.704,7.276,18091575,38.953,10.091,28829476,29.181,7.23,2479713,20.981,9.793,56015473,33.144,8.078,16150362,38.131,7.78,16591390,28.9,9.6,1343000
2017 [YR2017],..,..,29784193,..,..,2291661,..,..,2233339,..,..,18622104,..,..,29668834,..,..,2533794,..,..,56717156,..,..,16529904,..,..,17094130,..,..,1367000
